2.12,0,0,0,0,1,0,1,1,3,0,0,0
3.00,0,1,0,0,1,0,2,0,0,1,1,0
0.62,0,1,0,1,1,0,0,0,2,0,1,0
2.75,0,1,0,1,0,1,0,0,3,0,0,0
0.67,0,0,0,0,1,2,0,0,1,0,2,0
1.53,0,1,0,0,0,1,1,0,3,0,0,0
2.26,0,1,0,0,1,1,0,1,2,0,0,0
2.18,0,1,0,1,0,1,1,0,2,0,0,0
2.04,0,1,1,0,1,0,0,1,1,1,0,0
2.00,0,1,1,0,0,0,0,1,2,1,0,0
2.00,0,1,0,0,1,0,2,0,2,0,0,0
2.00,0,1,1,0,0,0,1,0,1,1,1,0
1.81,0,1,0,0,1,0,1,0,2,1,0,0
1.86,0,1,0,1,0,1,1,1,1,0,0,0
1.75,0,1,0,1,1,1,0,0,2,0,0,0
1.17,0,1,0,0,1,0,1,0,3,0,0,0
1.63,0,1,0,0,1,1,1,1,0,0,1,0
1.56,0,1,0,0,1,1,0,0,2,0,1,0
0.98,0,1,0,1,0,1,1,0,1,1,0,0
1.19,0,1,0,0,1,1,1,0,2,0,0,0
1.39,0,1,0,1,1,1,1,1,0,0,0,0
1.00,0,1,0,1,0,1,1,0,1,0,1,0
0.90,0,1,0,0,1,1,1,1,1,0,0,0
1.47,0,1,0,0,1,1,1,0,0,1,1,0
0.64,0,1,0,0,1,0,1,1,2,0,0,0
1.45,0,0,0,1,1,1,1,0,2,0,0,0
1.29,0,1,1,0,1,0,1,0,1,1,0,0
1.43,0,1,0,0,1,1,1,1,0,1,0,0
1.41,0,1,0,0,0,1,1,1,2,0,0,0
1.40,0,1,0,0,1,2,0,1,1,0,0,0
1.38,0,1,0,1,1,0,1,0,2,0,0,0
0.93,0,1,1,0,1,1,0,0,1,1,0,0
0.55,0,1,0,0,1,1,0,0,1,0,2,0
1.35,0,1,0,1,1,1,0,0,1,1,0,0
1.33,0,1,1,0,1,0,0,0,2,1,0,0
1.05,0,1,0,0,1,1,0,0,3,0,0,0
1.31,0,1,0,0,1,1,0,0,2,1,0,0
1.27,0,1,0,1,1,0,0,1,2,0,0,0
1.22,0,1,0,1,1,0,1,1,1,0,0,0
1.23,0,1,0,1,1,1,1,0,0,1,0,0
0.65,0,1,0,1,1,0,1,0,1,1,0,0
0.55,0,1,0,0,1,1,0,1,1,0,1,0
1.21,0,1,1,0,1,1,0,0,2,0,0,0
0.74,0,1,1,1,1,1,0,0,1,0,0,0
1.20,0,1,0,0,1,0,1,0,2,0,1,0
0.71,0,1,1,1,0,1,1,0,1,0,0,0
1.19,0,1,0,1,1,1,1,0,1,0,0,0
1.16,0,1,0,1,1,0,1,0,1,0,1,0
1.15,0,1,1,0,1,1,1,0,1,0,0,0
1.14,0,1,0,1,0,1,0,0,2,0,1,0
1.00,0,1,0,0,0,2,1,0,2,0,0,0
1.13,0,1,0,0,1,2,0,0,2,0,0,0
1.11,0,1,0,0,0,1,1,0,2,0,1,0
1.07,0,1,0,0,1,0,0,0,3,0,1,0
0.74,0,1,0,0,1,1,1,0,1,1,0,0
0.93,0,1,0,0,1,1,1,0,1,0,1,0
1.02,0,1,0,1,1,1,0,1,1,0,0,0
0.79,0,1,0,1,1,1,0,0,1,0,1,0
0.93,0,1,0,1,1,0,0,0,3,0,0,0
0.63,0,1,0,1,0,1,0,1,2,0,0,0
