601,572,45
347,420,33
2609,2764,207
2186,2292,154
229,377,35
310,378,39
2310,2396,191
2853,2765,196
365,389,39
704,674,57
1707,1845,122
1272,1559,134
2969,3254,247
3313,3022,270
1092,1353,106
1095,1296,111
3216,3136,245
3273,3259,238
1348,1692,126
1589,1934,152
4438,4259,282
3874,3584,306
4101,3944,333
4212,3993,315
3507,3481,292
3458,3459,272
4184,4124,287
3955,4067,319
4190,4118,316
4120,4009,292
8367,7722,546
6284,6324,457
5827,6049,425
5968,6122,439
6316,6249,449
5678,6173,410
5999,6024,470
6301,6292,439
6819,6454,466
8364,7526,548
