4719,4487,348
5360,4746,310
1874,1963,168
2050,1899,163
4535,4504,317
4187,4240,272
1929,2017,158
2199,2041,151
4941,4741,325
4667,4555,324
3386,3587,228
2068,2248,201
1834,1864,132
1380,1641,118
1630,1841,149
1749,1793,154
1439,1594,127
1414,1602,101
2372,2505,180
3835,3771,258
3454,3000,233
2547,2562,176
1914,2046,141
1862,1783,176
1896,1894,148
1614,1616,134
1568,1730,142
1999,1900,148
2591,2603,197
3424,3109,223
3916,4613,315
3369,3148,248
3214,3249,246
2635,2577,230
2420,2621,206
2859,2621,209
2393,2426,217
3254,2997,229
3173,3104,232
3810,4242,294
