2383,3104,174
1735,2283,156
2075,2053,133
1547,1692,100
1105,1435,133
1456,1726,148
1763,1693,100
2089,2103,145
1901,2219,165
2634,2993,239
3276,3455,238
3822,3824,275
2677,2906,198
1576,1933,157
2139,2337,154
2180,2344,173
1705,1921,134
2687,2871,186
3783,3783,278
3208,3551,236
7103,7837,577
4538,4703,365
5388,5576,404
5193,5231,398
4722,4608,358
4380,4356,321
5525,5263,428
5272,5557,390
4077,4463,316
7353,8574,622
3760,3473,268
7474,7606,561
8455,6641,540
7020,6122,492
7551,6160,523
7747,6245,524
6728,6351,458
7692,6435,549
7622,8176,619
3870,3617,257
