5106,5210,385
5875,5776,407
2793,2585,226
2715,2604,229
5762,5930,421
5888,5894,428
2508,2537,210
2632,2552,221
5711,5751,413
5011,5186,333
3058,3137,251
2910,3007,218
2173,2073,172
2195,2157,176
3202,3007,234
2741,2872,220
2162,2199,157
2083,2160,171
2642,2714,212
3511,3127,274
2217,2200,163
2698,2622,164
2479,2198,166
1798,2151,126
2215,2163,173
2010,2043,150
2028,2060,146
2231,2241,155
2751,2555,195
1969,1856,133
1706,1818,142
2207,2010,143
1975,2090,145
1895,2003,149
1612,1776,116
1602,1803,148
1793,1835,131
2118,1955,140
2055,1971,149
1443,1652,136
