3607,3486,256
4057,4251,325
3288,3103,225
3235,2862,239
4929,4650,376
4761,4496,346
3391,3093,265
3153,2983,191
4782,4352,326
3416,3290,278
3911,3672,288
3906,3630,273
2301,2460,189
2137,2304,137
3243,3372,268
4232,4045,290
1967,2211,184
2260,2325,173
3403,3248,251
3721,3461,245
1784,2031,161
2642,2718,231
2645,2728,175
2373,2556,179
2699,2695,206
2945,2905,212
2404,2497,174
2764,2748,215
2698,2857,222
1654,1696,118
1345,1400,99
1408,1565,114
1678,2091,160
1939,2000,139
1973,2165,142
2146,2286,151
1769,1918,139
1880,2137,158
1826,1788,121
1208,1405,87
