1022,1017,101
1346,1483,126
3794,3572,284
2686,2573,209
2126,1841,131
1722,1560,109
2857,2640,225
3713,3587,239
1524,1544,114
1098,1122,92
2741,2580,203
2247,2496,145
2066,2254,186
1774,1959,148
2645,2685,201
2596,2752,202
2136,2131,178
2082,2187,191
2288,2593,185
2283,2449,190
1564,1498,106
2447,2666,164
3140,2931,222
3816,3453,259
2821,2774,206
2827,3164,250
3959,3500,232
3074,2912,217
1734,2094,132
2064,1601,149
672,636,55
817,966,59
1366,1367,104
1178,1301,86
1411,1546,105
1326,1461,116
1389,1334,91
1516,1602,105
891,954,64
852,825,65
