9852,9165,713
8595,7927,646
4877,4994,385
4894,5226,373
8311,8018,587
8696,8490,664
4700,4896,379
4192,4640,364
8087,7894,617
9594,9133,678
6642,6715,509
8010,7166,561
5157,4974,366
5695,5271,413
8645,8368,563
7663,7380,510
5430,5061,376
5295,4951,389
7879,7042,504
6388,6439,463
5399,5376,418
6182,5700,439
3302,3597,278
2958,3336,219
5687,6160,408
5864,5898,400
2732,3312,248
3058,3431,252
6562,5719,446
5002,4990,361
5206,5157,412
5159,5008,393
2806,3603,273
2623,3305,235
3730,4746,320
3857,4642,319
2451,3137,222
2419,3136,245
4486,4239,325
4875,4818,383
