252,420,27
288,536,38
2642,2638,1941
1963,1941,149
484,538,32
455,524,33
1744,1886,129
2759,2794,231
268,514,42
366,48,45
1481,1471,115
1641,2036,131
3469,3229,244
2790,2563,164
1902,1768,155
1791,1867,158
2506,2200,161
3623,3423,262
1971,2137,164
1472,1528,125
876,884,58
1592,1934,134
2499,2334,182
2307,1910,169
2039,1791,117
2437,2024,147
2068,1811,144
2800,2236,161
1909,2089156
962,975,84
252,294,13
285,316,26
209,287,19
209,314,19
295,415,21
300,444,19
146,289,25
232,378,24
233,301,30
223,213,19
